City,Country,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,Population,Prev,Growth
Edinburgh,United Kingdom,2.09,7.97,6.73,1.35,996.45,1992.89,83.92,58.77,60.64,13.94,75.03,30.51,536775.0,530741.0,0.0114
Helsinki,Finland,2.57,10.23,8.52,1.43,1534.47,1960.71,81.34,54.41,74.35,29.14,75.85,40.96,1304851.0,1292232.0,0.0098
Stuttgart,Germany,2.13,6.82,4.26,1.32,980.35,1943.66,82.48,65.82,80.38,16.89,90.4,23.96,632692.0,631453.0,0.002
Dublin,Ireland,2.39,8.31,8.52,1.39,1278.72,1918.09,90.45,50.13,41.12,30.54,65.27,48.31,1228179.0,1214666.0,0.0111
Toronto,Canada,2.23,8.29,9.5,0.83,1593.78,1912.54,88.42,61.44,66.11,8.95,77.02,27.4,6196731.0,6139404.0,0.0093
Detroit,United States,1.96,5.56,7.85,0.67,632.19,1895.93,70.63,73.81,63.05,83.45,50.99,76.69,667272.0,669967.0,-0.004
Brussels,Belgium,2.13,7.67,5.11,1.36,1193.48,1875.46,84.8,54.41,81.35,6.79,65.42,53.79,2080788.0,2065284.0,0.0075
Leicester,United Kingdom,2.49,7.22,5.27,1.43,787.19,1793.6,83.36,71.88,60.64,18.04,76.19,24.22,552178.0,547352.0,0.0088
Nottingham,United Kingdom,2.49,7.97,4.98,1.37,797.16,1793.6,80.42,53.57,79.63,24.54,75.88,44.38,787610.0,781151.0,0.0083
Montreal,Canada,1.91,7.65,9.56,0.89,956.27,1785.03,89.28,66.99,66.77,6.27,78.55,31.63,4220566.0,4195523.0,0.006
Berlin,Germany,1.88,6.82,3.84,1.36,916.42,1772.57,89.54,68.72,65.48,16.05,91.17,24.18,3562038.0,3556792.0,0.0015
Amsterdam,Netherlands,2.09,8.52,4.26,1.45,1513.16,1747.59,84.0,47.18,68.06,53.42,72.85,29.76,1148972.0,1140339.0,0.0076
Hamburg,Germany,1.83,9.38,3.41,1.36,1534.47,1747.59,84.66,61.13,82.41,67.78,87.18,25.52,1789954.0,1791120.0,-0.0007
Lyon,France,2.13,7.67,4.69,1.19,895.11,1704.96,84.78,56.05,88.65,37.21,71.13,47.27,1719268.0,1704738.0,0.0085
Rotterdam,Netherlands,2.09,8.1,3.84,1.46,1278.72,1704.96,80.68,50.9,63.26,20.36,67.77,74.27,1010026.0,1008667.0,0.0013
Cologne,Germany,1.92,7.25,3.62,1.32,980.35,1704.96,82.18,59.18,67.88,68.41,82.82,27.08,1118789.0,1107731.0,0.01
Glasgow,United Kingdom,2.52,9.0,6.0,1.07,1126.75,1654.76,84.23,85.0,90.55,0.0,80.0,60.0,1673332.0,1666632.0,0.004
Nice,France,2.13,8.1,5.11,1.3,1278.72,1624.66,82.55,49.52,87.95,59.19,68.34,47.27,942208.0,941800.0,0.0004
